R1,G1,B1,R2,G2,B2,DELTA_E,SIMILARITY
87,63,120,123,125,125,27.423800358313883,0
44,32,37,55,60,63,13.518433747961167,0
59,60,61,206,240,89,65.60316479045785,0
50,41,43,112,136,185,37.956083645067736,1
34,32,29,232,92,83,45.43320236438609,0
159,41,49,24,78,75,45.62247148325823,1
98,111,170,49,69,51,35.346311916962705,1
235,160,86,27,72,134,60.562548276059864,1
149,141,136,186,65,108,27.78456600063474,1
245,125,51,132,98,119,36.69898292312127,1
74,74,73,36,37,61,17.943483947136748,1
45,69,85,230,101,48,47.857003383559416,0
154,19,37,73,69,73,25.373919009452905,1
56,56,45,72,191,107,50.08792371983419,1
149,159,155,71,68,55,35.613393600812884,1
221,196,53,106,30,38,68.46140320622837,1
128,94,107,185,74,99,14.519842987912522,1
233,198,103,116,35,38,61.6963907169768,0
122,18,31,154,152,146,43.04839463040398,1
178,108,110,129,46,44,20.704625401667517,1
68,84,166,34,37,42,25.36559966157413,0
34,71,134,64,103,193,12.64598190556996,1
28,118,77,102,68,128,40.78409586015211,0
49,47,29,36,34,29,7.667715309729228,1
130,59,85,243,204,64,63.552104630350236,0
76,71,70,29,28,50,18.453286446195396,1
86,110,166,239,197,51,58.44206284842257,0
94,147,196,110,142,182,4.418285162549125,1
27,78,143,83,81,110,14.71279103486504,0
104,109,123,64,56,110,21.044086947695988,0
195,196,203,186,118,123,27.591277612743507,0
39,41,45,72,175,133,49.56216943615638,0
171,198,72,48,72,157,72.08910251443467,1
68,128,201,45,46,57,34.14727085586131,1
145,89,37,231,170,55,29.59432738548211,1
163,172,101,166,245,156,19.757441746749326,1
47,51,54,216,190,10,64.12997494810081,0
27,36,45,39,30,139,15.356816431182159,1
215,187,9,222,157,121,26.339003893467083,0
229,81,112,51,33,31,39.56194656930296,0
189,169,16,26,27,26,58.22180879046721,1
208,53,70,57,172,170,59.42536483021935,1
53,55,61,222,157,121,51.34661322434381,1
28,118,77,145,106,113,43.93534791361253,1
82,61,70,173,194,211,52.2824079972154,1
59,27,39,41,55,53,25.906381313232092,1
122,160,138,90,59,95,45.09100577940611,0
227,169,159,227,241,106,39.686458467257204,1
216,155,47,35,42,43,55.125335830639365,1
163,52,45,191,51,69,8.227666756291274,1
201,207,114,178,149,143,30.820382813803683,0
39,30,139,93,178,179,54.20213054829168,1
45,63,122,204,223,179,66.18742529378432,1
30,46,79,206,187,30,72.53866672798922,1
164,31,57,33,147,119,64.09543398295344,1
54,109,126,26,55,91,21.452751674833685,1
229,58,29,60,59,59,36.85074778637934,0
202,209,131,52,57,53,60.4867814078332,1
231,44,114,210,74,80,11.735985725071172,1
183,47,46,202,107,112,17.234179149919964,0
52,130,84,233,198,11,40.28665068825787,0
102,64,128,170,178,199,40.43162648222305,1
205,77,20,35,86,113,46.8196305246767,1
45,63,122,82,149,177,32.30808354125119,1
129,132,146,155,48,66,31.712654479496184,0
200,158,73,73,167,85,30.92457335220473,1
86,173,110,126,50,78,66.63478773535229,1
152,82,93,186,203,10,59.28660776729004,1
44,42,47,75,70,71,9.646269892497598,1
216,212,69,207,56,39,55.43419598490543,0
230,103,82,70,104,173,43.04828185584092,1
201,53,56,37,32,50,38.38520648857377,1
79,143,43,40,36,38,43.65946915021105,1
181,107,118,84,67,77,25.319153090462947,1
41,62,59,210,74,80,44.73013776228331,1
238,164,115,86,92,105,42.70605749491292,1
41,49,64,105,168,132,47.382858166834374,1
88,151,203,239,199,41,58.15228625383048,1
33,163,85,55,82,83,34.82488909667063,1
69,208,108,85,73,120,58.73113634234529,1
31,105,63,50,47,46,29.135902054410263,1
49,49,52,180,205,141,63.14479927849687,0
26,187,95,237,201,11,33.984685735980285,0
77,48,68,199,236,99,77.71479781260959,0
217,228,235,53,54,57,62.67408411927424,0
181,208,196,38,39,36,66.12354149431145,0
237,169,80,66,66,66,52.39233403994604,0
110,110,111,205,46,52,27.68943802274583,0
41,40,45,122,37,56,24.321731924804123,0
58,116,70,22,32,119,48.48847548800785,0
228,200,57,201,65,51,49.314460083217575,0
221,178,64,70,194,201,40.2282097248038,0
105,199,119,145,146,154,30.556599717989002,0
26,75,162,212,52,73,41.63491751932941,0
46,72,138,68,84,166,5.871018492516812,0
142,215,89,53,53,51,62.76781243474893,0
159,62,71,206,187,30,55.896192067688496,0
118,158,82,75,77,89,40.69739352304815,0
88,59,61,185,166,27,51.64924983245068,0
50,47,47,58,52,57,4.339267667474536,0
108,37,46,22,88,172,35.70740187184662,0
35,59,69,20,177,216,43.44524330251256,0
42,47,49,194,174,39,56.95120775829666,0
124,19,39,184,55,98,16.563647099965486,0
31,86,66,83,43,45,41.76835998538709,0
108,23,40,180,160,14,59.15316875298038,0
186,16,49,69,50,59,26.71963709736235,0
163,52,45,203,57,61,8.591208836448029,0
155,196,221,182,86,22,48.15346416107382,0
144,41,51,208,163,167,39.18506816418116,0
247,199,218,118,174,146,45.77380620347441,0
231,91,61,221,196,53,43.066898223239896,0
216,190,10,18,16,22,72.34886121263028,0
44,42,48,102,83,99,17.608355924048666,0
218,58,65,66,65,63,33.690054681224176,0
59,42,37,106,108,113,24.020108304772464,0
26,58,109,235,215,66,78.09937264863935,0
235,208,37,239,216,27,2.1762354191018587,0
207,10,38,190,27,48,4.259363249496674,0
247,175,131,40,39,44,64.0350289468678,0
53,44,62,13,90,54,33.059211878483616,0
73,69,73,12,53,47,21.65819812585114,0
